English,Mundari
"In a short time, a model village will be ready in every block of India, which can inspire us to change the comfort of the village, give us a new direction and therefore, under this ""Saansad Adarsh Gram Yojana,"" we want to move forward.","लेल गि लेल तन लोओ हिन्दुस्तान रे सोबेन ब्लाॅक रे मियद् आदर्श हातु तेयार होबा कोआ, जे आबुके हातु रेआ सुख - सुविधा रआ बदलाव आउ मेनते आबुके प्रेरणा एम दाड़िअए, आबु चिमिन नवा साह एम दाड़िआबु ओड़ो: एनामेनते नेया ""सांसद आदर्श हातु रआ जोजना"" रआ तहत आबु अयर बढ़ावेन सनाङ मेना।"
What is most striking is what I did in Tarai's taand and saw so much of?,"पुरअःउतर अकदनदा कजि नेअगे, बुरु गोड़ाते चेनअः चेकाए हिजुःकते केना अद् अमिनङए लेलकिःइञअ ?"
"The two fighters followed them again to negotiate, and at their cooking place they both sat down, and one of the fighters is saying to them: ""O brothers, we are one nation"";","लड़का किङदो जगर मेनते ओड़ोःगेकिङ ओतोङकेद्कोअ अद् इनकु मनडितन तअःरेकिङ दुब्जना, अद् मिअद् लड़का मेतअकोतना, “ए’अ, हगाको; अबु मिद् जति हो’-कोगे;"
"The country... needed to make sacrifices, kept on making sacrifices... needed to suffer, kept on suffering, needed to create mass movements, kept on creating mass movements.","दिसुम.......बलिदान मेनते जरुड़ु पड़व जना, बलिदान ओमाकान गे ताइन जना....बलय झेलव मेनते जरुड़ु होबा जना, (कष्ट) बलय झेलव होबाजना, जनआंदोलन तिंगु रिका रेआः जरुड़ु होबा जना, जनआंदोलन तंगु रिका तन गे ताइन जना ।"
"Last night, the sahib secretly sent a man to him.",सेनोः जान निदा गे बी.डी.ओ. सायोब हापे-हापेते मिआद होड़ो आकिनताएः कुल लिः आ चि सेकेड़ाते-
You can see it any way.,अम इनिइ जाँ लेका तेओम लेल दड़िआइअ।
The inmates of Kaushambi jail are preparing several covers every week.,कौशाम्बी जेल रे कैदी हर सप्ताह आमुनङ cover को तेयार जदा।
"The Nguri dialect itself is called ""Nguri Jagar"" and Nguri speakers are known as ""Nguri Hodoko"" and ""Nguri Mundako.""",नगुरी गे 'नगुरी जगर' ओ कजिओ:अ ओड़ो: नगुरी जगरतनको गे 'नगुरी होड़ोको' ओड़ो: 'नगुरी मुण्डाको' नुतुम तेओ को सुबाओ: तना।
"However, it was long believed that his remains, buried in Goa, had disappeared in the 1930 earthquake.","लेकिन, पुराः सोमोय तक नेया मानतिंङ ताई तन केना चि गोवा रे तोपा जदा को ईनकुआ अवशेष 1930 रेन भूकंप रे आद जाना को।"
"While laughing, Pandya reached out to the two of them and was asking them ""Why are you both laughing?.""","लनदा अउरि होकाएरेगे, पनडेअ तेबअःतद्किङअ अद्ए कुलिजद्किङअ, ‘‘चेकनअःबेन लनदातना?’’"
There will be an opportunity to refresh their memories.,इनिअपहमको सुसति रेअः मोका नमोअ।
The old man is slowly getting separated while holding the money to the child.,हाड़ाम बिरं एनाको ती रेः साबाइ तानलोः ते पारका हापेन ताना।
Ne Durang Puthi Rea: Durang Sangi Pede: Te Danda Jamakana.,इस गीत पुस्तक के गीतों को बहुत ही मेहनत करके ढुंढ़ा गया है।
Daughter-in-law! I have not told you about this.,दुकुरा-शान्त ! इसके बारे में मैंने तुमलोगों को नहीं बताया है।
"The men of the village, hearing this, were told to go and hunt them down.","होड़ोकोदो, ने कजि अयुम- केद्ते, दोलाबु, सेनदेराकोअको मेनकेदा ।"
But it is not possible to say who were his children.,"मेनदो इनकिनअः होनको ओकोएको तइकेना, नेया कबु उदुब् दड़िया।"
"And these news are also shown prominently in the country today, are told and are also discussed in schools and colleges.",ओड़ो: खबर को दिसुम रे तिसिङ मुख्य रुपतरको लेल रिका जादा ओड़ो: School college कोरे को चर्चा जादा।
They are right next to our houses and we can visit these shops any day of the week and at any time.,अबुअः ओड़अः जपअः रे दो एना ताइन गेआ ओड़ोः अबु हप्ता रअः जान दिन रेगे ओड़ोः जान सोमय ने दुकान रे सेन दड़िआबु।
"These rocks are known as megaliths (maha: big, pashana: stone).","ने दिरि काण्डा महापाषाण (महा: मरङ, पाषाण : दिरि) लुतुमते सरिओतना।"
Women are sniffing for the bichda in small kiris.,कुड़िकोदो डइरे कोदेको बियंड़ाजदा ।
"Reaching there, they find it is the home of a demon.",तेबः लेद्ाते लेल लः को दो एना दो मियद् मरंङ्ग रगोसाः ओड़ः।
This is how their marriage was.,इनिअः अड़ान्दिओ ने लेका होबा लेना।
We did not use that varna and wrote Sanskrit as our language.,अबु एना ओलको काबुअःजना। अकोगे नेआ बनिते अकोअः तयोम जगर सोतोः बइतन संस्कृतको ओलकेदा।
"About you, the Matura and the Evangelist.",मतुरगे त्र्प्रटकरलोपेत्र्प्रद् परचार ।
