Hindi,Gondi
नदियों की धारा के साथ चलने का अनुभव अद्भुत होता है।,बेरेह न पोगा न त संग ताकाना त पुन्दले अजीब आयता।
प्रभावित नदियों के बारे में जन जागरूकता बढ़ाना आवश्यक है।,बेरहाग बेरेहक न बाटे ते मानेय तुन पुन्दला कुबैय बेसहाना जरूरी आन्द।
"और ये बहुत दिलचस्प है कि तीसरे अध्याय के प्रारंभ में हमारे संविधान निर्माताओं ने भगवान राम, माता सीता और लक्ष्मण जी के चित्रों को स्थान दिया था।",अन इद जीवातुन गिर्दा वानह आंद तेना मूण्ड अध्याय ता सुरू ते संविधान पण्डवालोरक बगवान राम यायाल सीताल अन लक्ष्मेन न पोटो नुंग जागा हीतोर (सपाह कीतोर)।
पद्म सम्मान देने की व्यवस्था में कई बदलाव भी हुए हैं।,पद्य समान हियाना ते कुबेय बदले मातांग।
भारतीय नदियों में कई मछलियों की प्रजातियाँ पाई जाती हैं।,भारतीय बेरेह ने कुबैय मीनक नग प्रजातिगं पुटायतंग।
नदी घाटियों में अनेक प्रकार के जीव-जंतु मिलते हैं।,बेरेह गाटुहने कुबैय किसम तंग जीवाग जानवरक पुटामतंग।
गंगा नदी का प्रवाह सांस्कृतिक परंपराओं से जुड़ा होता है।,गंगा बेटे द पोंगा त रीति-रिवाज धारा ते जोड़े मायता।
"उसका असली नाम 'राम' है, लेकिन आलसी होने के कारण सब उसे आलसीराम बुलाते हैं।",ओना असली पोरोय राम आन्द मति आलसी (असादी) आन्दूर काजे सबलोर आलसीराम इनजोर कैयान तोर।
नदियों में जल की अतिरिक्त मिठास भूमि की उर्वरता बढ़ाती है।,बेरहेन एर्ट त अलग मिठास नेलीग त उपजाह किले बेटसायता।
वो एक दशक पुराना हो चुका है।,अद उंद पीड़ी त पड़ाना आना।
घाटों में नदी के पौधे और जीवों का अध्ययन किया जा रहा है।,घाटुम ते बेटेल अन दग पोदेलांग अन जीवानंग अध्ययन कियाना आयता।
"एक ऐसे भी हैं, जिन्होंने चावल की 650 से अधिक किस्मों के संरक्षण का काम किया है।",उन्द इदम गला मता ओर लोर अपेडे नुकानुंग सारूंग सौ पच्चेस (650) ते कुबैय आनी-बानी ता ना हुजाड़ता बूतो कीतोर।
"यहां भी जिस एक बात ने लोगों का खूब ध्यान खींचा, वो थी अर्जुन पुरस्कार पाने वाली बेटियां और उनकी life journeys।",इगा गला अद उन्द पोल्लो मानैय ता गोक तुन कुबैय पिंड्गंत अद मतंग ’’अर्जुन पुरूस्कार’’ एतानंग बितिह मियाह अन अवेहना जिलंगी ता दायना।
ऐसे प्रयासों से देश में Organ donation के प्रति सकारात्मक माहौल बन रहा है और लोगों की जिन्दगियां भी बच रही हैं।,इदम कोसित ते देश व्तहंद कवदंजपवद ता इदे बेसता माहौल बने मायता अन मानैय तंग जिबांग गला पिसयतंग।
"15 अगस्त का दिन अब दूर नहीं है। और अब तो 15 अगस्त के साथ एक और अभियान जुड़ गया है, ‘हर घर तिरंगा अभियान’।","15 अगस्त ता दिहड़ इदेक हिल। अन इदेक तो 15 अगस्त ता संग उन्द और अभियान जोड़़ेमाता, लोतपुटि तिरंगा अभियान।"
"‘मन की बात’ के जरिए हमारा और आपका जो रिश्ता बना है,",गोक ता पोल्लो (बर) मावा अन मिय्या नाता मंता।
"सबकी भावना एक, सबकी भक्ति एक, सबकी बातों में राम, सबके हृदय में राम।","कुडुहले मानैय ता बिचर उन्द कुडुहले मानैय ता माड़ना उन्द कुडुहले मानैय तंग पोल्लो राम, कुडुहले मानैय ता जीवा ते राम।"
मुझे अच्छा लगा कि लाखों लोगों ने श्रद्धाभाव से जुड़कर अपने क्षेत्र के धार्मिक स्थलों की साफ़-सफाई की।,नाकुन अचा पड़त कि लाखो मानेय लोर माड़ना बिचार ते जुड़े मातूर आपुना कोलान ते धार्मिक डेरा नून चुक चुका कीतूर।
नदियों का नामकरण कई धार्मिक और ऐतिहासिक संदर्भों पर आधारित है।,बेरेह न पोटीय कुबैय धरम अन इतिहास सोबा त अनुसार मंता।
सुश्री यानुंग अरुणाचल प्रदेश की रहने वाली हैं और हर्बल औषधीय विशेषज्ञ हैं।,सुश्री यानुंग अरूणाचल प्रदेश ता मंदाना बित्ती आंद अन जड़ी-बुटी ना पंुदले बिति आंद।
भारतीय समुद्र पार की यात्रा एक अद्वितीय अनुभव है।,भारतीय समुन्द तून वेडाना अन दयना कूबैय हन्दाना लेहका आन्ता।
आलसीराम ने सच में अपनी जिंदगी के लिए कुछ करने का सोचा था।,असादराम सच ते अपूना जिन्दगी ते बताय कियाला सोच कीनतोर।
इस बार परेड में मार्च करने वाले 20 दस्तों में से 11 दस्ते महिलाओं के ही थे।,इद पहर परेड ते सर्रपड डांक केवालोर कोड़ी मेंड दस्ताने तुन पद उन्द दस्ते मुयवहनंगे मंतंग।
जबर्रा गांव धमतरी जिला मुख्यालय से 65 कि.मी. दूर है।,तबर्रा जार्र धमतरी जिला मुख्यालय तह65 कि.मी.लेक मंता।
